date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2017-04-25,333,2017,4,April,25,1,Tuesday,2
2017-04-26,334,2017,4,April,26,2,Wednesday,2
2017-04-27,335,2017,4,April,27,3,Thursday,2
2017-04-28,336,2017,4,April,28,4,Friday,2
2017-05-01,337,2017,5,May,1,0,Monday,2
2017-05-02,338,2017,5,May,2,1,Tuesday,2
2017-05-04,339,2017,5,May,4,3,Thursday,2
2017-05-05,340,2017,5,May,5,4,Friday,2
2017-05-07,341,2017,5,May,7,6,Sunday,2
2017-05-08,342,2017,5,May,8,0,Monday,2
2017-05-09,343,2017,5,May,9,1,Tuesday,2
2017-05-10,344,2017,5,May,10,2,Wednesday,2
2017-05-12,345,2017,5,May,12,4,Friday,2
2017-05-13,346,2017,5,May,13,5,Saturday,2
2017-05-14,347,2017,5,May,14,6,Sunday,2
2017-05-15,348,2017,5,May,15,0,Monday,2
2017-05-16,349,2017,5,May,16,1,Tuesday,2
2017-05-18,350,2017,5,May,18,3,Thursday,2
2017-05-19,351,2017,5,May,19,4,Friday,2
2017-05-22,352,2017,5,May,22,0,Monday,2
2017-05-23,353,2017,5,May,23,1,Tuesday,2
2017-05-25,354,2017,5,May,25,3,Thursday,2
2017-05-26,355,2017,5,May,26,4,Friday,2
2017-05-29,356,2017,5,May,29,0,Monday,2
2017-05-30,357,2017,5,May,30,1,Tuesday,2
2017-05-31,358,2017,5,May,31,2,Wednesday,2
2017-06-01,359,2017,6,June,1,3,Thursday,2
2017-06-02,360,2017,6,June,2,4,Friday,2
2017-06-03,361,2017,6,June,3,5,Saturday,2
2017-06-05,362,2017,6,June,5,0,Monday,2
2017-06-08,363,2017,6,June,8,3,Thursday,2
2017-06-09,364,2017,6,June,9,4,Friday,2
2017-06-10,365,2017,6,June,10,5,Saturday,2
2017-06-13,366,2017,6,June,13,1,Tuesday,2
2017-06-15,367,2017,6,June,15,3,Thursday,2
2017-06-16,368,2017,6,June,16,4,Friday,2
2017-06-17,369,2017,6,June,17,5,Saturday,2
2017-06-19,370,2017,6,June,19,0,Monday,2
2017-06-20,371,2017,6,June,20,1,Tuesday,2
2017-06-21,372,2017,6,June,21,2,Wednesday,2
2017-06-22,373,2017,6,June,22,3,Thursday,2
2017-06-23,374,2017,6,June,23,4,Friday,2
2017-06-24,375,2017,6,June,24,5,Saturday,2
2017-06-25,376,2017,6,June,25,6,Sunday,2
2017-06-26,377,2017,6,June,26,0,Monday,2
2017-06-27,378,2017,6,June,27,1,Tuesday,2
2017-06-28,379,2017,6,June,28,2,Wednesday,2
2017-06-30,380,2017,6,June,30,4,Friday,2
2017-07-01,381,2017,7,July,1,5,Saturday,3
2017-07-04,382,2017,7,July,4,1,Tuesday,3
