content_key,country_id
1017,46
1018,46
1019,46
1020,46
1020,115
1021,46
1022,46
1023,46
1024,46
1025,116
1027,116
1028,21
1028,116
1028,68
1030,116
1031,85
1032,39
1033,101
1034,115
1034,39
1034,116
1035,116
1036,29
1036,115
1036,116
1037,116
1038,46
1040,116
1041,54
1042,54
1043,116
1044,116
1045,54
1046,116
1047,116
1048,60
1049,116
1049,37
1050,24
1050,115
1051,54
1052,54
1053,116
1054,116
1056,116
1058,116
1059,52
1059,115
1060,116
1061,116
1061,46
1062,116
1063,101
1064,116
1065,101
1066,21
1067,24
1067,109
1068,110
1069,116
1070,46
1071,116
1076,116
1076,16
1076,54
1076,103
1076,46
1080,51
1080,116
1081,24
1082,116
1084,116
1085,24
1086,101
1087,78
1088,46
1089,116
1090,116
1091,47
1092,54
1094,46
1098,116
1098,24
1098,115
1099,46
1100,20
1101,116
1102,116
1102,21
1103,116
1104,24
1105,116
1105,21
1106,115
1106,116
1107,116
1108,78
1109,46
1110,75
1111,37
1112,116
1112,115
1112,37
1113,116
1114,116
1115,46
1116,46
1118,60
1118,81
1118,30
1118,89
1119,116
1119,21
1120,116
1120,21
1121,54
1121,116
1122,116
1123,46
1124,117
1124,39
1125,116
1126,115
1127,116
1128,116
1129,116
1130,115
1132,54
1134,116
1135,116
1135,54
1136,116
1137,47
1138,34
1138,93
1139,115
1139,37
1139,86
1139,39
1139,116
1140,116
1141,116
1142,46
1143,116
1144,116
1145,116
1145,115
1146,50
1146,107
1146,115
1146,37
1146,116
1147,116
1147,68
1148,115
1149,101
1150,54
1151,116
1152,24
1152,115
1153,116
1154,115
1154,100
1154,37
1155,116
1156,78
1157,116
1158,116
1159,116
1161,50
1161,115
1161,37
1161,39
1162,115
1163,111
1164,103
1165,103
1166,46
1167,115
1168,52
1169,116
1170,54
1171,91
1171,116
1172,116
1173,100
1174,101
1175,101
1176,115
1176,116
1176,37
1177,54
1178,109
1179,116
1180,116
1180,54
1182,116
1183,115
1185,24
1186,78
1187,54
1188,116
1189,16
1190,116
1191,115
1191,116
1192,116
1193,115
1195,78
1196,116
1197,13
1198,115
1198,116
1199,39
1200,116
1201,116
1202,34
1203,46
1204,116
1204,46
1204,115
1205,116
1206,116
1206,115
1207,115
1209,111
1210,57
1211,101
